,PB23-220608-131619,PB24-220608-122638,PB33-220620-115414,PB39-220629-105034,PB391-220829-111452,PB44-220829-121005,PB61-221024-110730,PB62-221024-120029,PB64-221024-143444,PB70-221024-134346,PB23-220601-142444,PB24-220601-133332,PB33-220614-133339,PB39-220627-104923,PB391-220826-104731,PB44-220826-113745,PB61-221022-094209,PB62-221022-103215,PB64-221022-112221,PB70-221022-121226,PB39-220705-114000,PB391-220902-105101,PB44-220902-114732,PB61-221027-091856,PB62-221027-100635,PB70-221027-114604,PB23-220603-132442,PB24-220603-123453,PB33-220616-112230,PB26-220608-113244,PB27-220608-104154,PB30-220620-100529,PB31-220620-105832,PB46-220926-133715,PB48-220926-121542,PB71-221123-113609,PB72-221123-122441,PB73-221123-131413,PB75-221123-140659,PB26-220601-113859,PB27-220601-104408,PB30-220614-104707,PB31-220614-113720,PB46-220922-132610,PB48-220922-123633,PB71-221121-112814,PB72-221121-121640,PB73-221121-130541,PB75-221121-144718,PB46-220930-111138,PB48-220930-120525,PB71-221130-125512,PB72-221130-134630,PB26-220603-105230,PB27-220603-100206,PB30-220616-092859,PB31-220616-101753
39,2066.09874944,2096.1345536,2110.81805824,2138.36906496,2113.87236352,2105.41543424,2097.52375296,2058.4873984,2105.73295616,2099.00470272,2126.30618112,2121.4511104,2144.91906048,2152.61495296,2071.39258368,2129.26676992,2132.79195136,2107.34546944,2131.12373248,2015.23986432,2125.16552704,2073.21137152,2071.75827456,2072.18950144,2104.13518848,2055.42457344,2121.1373568,2111.08954112,2046.74842624,2092.59003904,2114.52182528,2103.55945472,2116.354048,2036.12258304,2008.80930816,2086.82205184,2081.3225984,2099.89255168,2142.67068416,2102.04213248,2127.36425984,2101.29485824,2045.69542656,2116.34683904,2152.51746816,2065.9232768,2096.87707648,2101.43019008,2133.27921152,2151.38942976,2121.1643904,2176.69697536,2106.51578368,2018.73047552,2106.86181376,2091.78165248,2100.7663104
40,2121.10835712,2151.14416128,2155.82769152,2193.37867264,2163.88206592,2160.42487808,2147.53345536,2113.49684224,2155.74265856,2149.01424128,2176.31588352,2166.46090752,2189.92869376,2212.62462976,2116.40221696,2174.2764032,2177.80158464,2167.35514624,2186.13334016,2075.24937728,2185.17487616,2118.22084096,2116.767744,2122.19920384,2159.14496,2115.4340864,2176.14696448,2156.09933824,2101.75770624,2137.59967232,2159.5316224,2158.56922624,2176.36356096,2096.13193216,2063.81891584,2146.83172864,2141.3322752,2149.90209024,2187.68031744,2147.0519296,2182.37370368,2161.3043712,2095.70512896,2161.35663616,2202.52717056,2115.9329792,2156.8864256,2146.43982336,2188.28865536,2211.39894272,2166.17418752,2221.70660864,2161.52539136,2063.7401088,2161.87142144,2141.79135488,2155.77591808
41,2171.11805952,2201.15386368,2205.83755776,2253.3881856,2218.89150976,2210.43458048,2207.54296832,2173.50651904,2200.75245568,2209.02375424,2221.3255168,2226.47058432,2249.93837056,2267.6340736,2166.41191936,2229.28617472,2222.81138176,2212.36477952,2231.14297344,2125.25891584,2240.18432,2178.23035392,2171.77718784,2167.20883712,2204.15459328,2175.44359936,2231.156736,2211.10878208,2161.76738304,2182.6093056,2209.54116096,2208.57892864,2226.37326336,2141.14172928,2113.8284544,2201.84133632,2196.34188288,2204.91169792,2232.68995072,2202.06153728,2242.38338048,2221.314048,2150.71473664,2206.36626944,2252.53670912,2160.94244864,2216.8961024,2206.44933632,2238.29835776,2256.408576,2216.18388992,2276.71621632,2211.53509376,2123.74962176,2216.88119296,2196.80096256,2205.78562048
42,2226.1276672,2256.16347136,2260.8470016,2313.39769856,2268.901376,2265.44402432,2257.55250688,2223.51638528,2260.7618048,2269.03343104,2276.33512448,2281.48002816,2294.94784,2322.64368128,2221.42169088,2274.29564416,2272.82092032,2267.3743872,2281.152512,2185.26859264,2300.19383296,2228.24005632,2226.78679552,2212.21863424,2259.1643648,2230.45320704,2291.16608512,2266.1185536,2221.776896,2242.6189824,2254.55095808,2268.58827776,2276.38280192,2191.15143168,2168.83822592,2251.85087488,2256.35139584,2259.92114176,2287.6995584,2262.07105024,2292.39308288,2281.32356096,2210.7242496,2266.37561856,2312.54638592,2210.9519872,2276.90528768,2266.45901312,2298.30787072,2306.4182784,2276.19340288,2326.72591872,2271.54444288,2168.75941888,2271.89080064,2241.81059584,2255.79515904
43,2286.137344,2311.17307904,2305.85679872,2363.40740096,2328.91056128,2310.4536576,2307.56220928,2268.52569088,2305.77160192,2319.04313344,2336.34463744,2331.48956672,2344.95737856,2367.65331456,2266.43116032,2319.30527744,2332.83043328,2312.38402048,2336.16228352,2230.27822592,2350.20353536,2283.24950016,2286.79614464,2267.22824192,2304.17383424,2280.4627456,2351.17576192,2326.12806656,2276.78650368,2292.6286848,2309.56056576,2313.59807488,2321.3924352,2251.16094464,2228.84773888,2311.86055168,2316.3609088,2319.93081856,2342.70932992,2317.08082176,2342.40262144,2336.33316864,2265.73385728,2311.38541568,2362.55592448,2255.96178432,2326.91515392,2316.46855168,2358.31738368,2361.42788608,2336.20291584,2381.73536256,2331.55428352,2228.76893184,2316.90043392,2296.82003968,2305.80486144
44,2336.14688256,2361.1826176,2365.86647552,2418.41700864,2383.92000512,2355.46312704,2362.57165312,2313.53532416,2350.7812352,2369.05250816,2386.354176,2391.49924352,2389.96717568,2422.66308608,2326.44067328,2369.31497984,2392.83994624,2372.39353344,2396.17179648,2285.2878336,2400.21307392,2338.25910784,2336.8056832,2322.2378496,2349.21361408,2330.472448,2401.18546432,2381.13783808,2336.79601664,2342.63822336,2364.57017344,2373.60758784,2366.40223232,2306.17038848,2278.85744128,2356.87018496,2376.37042176,2364.94045184,2387.71879936,2367.09036032,2397.41222912,2396.3426816,2320.74346496,2366.39485952,2412.56562688,2315.97146112,2381.9247616,2376.47822848,2418.32689664,2406.43751936,2396.21259264,2441.74487552,2376.56375296,2278.77863424,2371.91020544,2341.8298368,2360.81430528
45,2386.15658496,2416.19222528,2420.87591936,2478.4265216,2443.92951808,2415.47280384,2407.58145024,2363.54486272,2400.7909376,2429.0623488,2431.36397312,2441.50878208,2439.97687808,2477.67269376,2371.45030656,2414.32461312,2437.84974336,2432.40321024,2446.18149888,2330.29746688,2445.2227072,2388.2686464,2381.81548032,2372.247552,2404.22322176,2380.4821504,2461.19514112,2441.14735104,2391.80562432,2397.64783104,2409.57997056,2418.61722112,2421.41184,2361.18016,2328.86697984,2401.87981824,2421.38021888,2409.95008512,2442.72840704,2412.0999936,2442.4218624,2446.352384,2380.75314176,2411.40465664,2467.57507072,2360.9810944,2441.93411072,2426.4876032,2478.3364096,2466.44719616,2456.22194176,2491.75474176,2421.57355008,2338.78831104,2421.919744,2391.83937536,2410.82384384
46,2431.1660544,2471.20183296,2465.88571648,2528.436224,2498.93912576,2460.48243712,2462.59105792,2418.5544704,2445.80057088,2489.07186176,2486.3735808,2501.51845888,2499.98639104,2522.68232704,2426.46007808,2469.3342208,2492.85951488,2482.41291264,2506.19101184,2385.30707456,2495.23224576,2433.27827968,2441.82499328,2422.2572544,2454.23292416,2435.49175808,2506.2047744,2491.1568896,2446.815232,2442.65746432,2459.58950912,2463.6268544,2476.42144768,2421.18967296,2378.87668224,2456.88958976,2481.38989568,2459.95978752,2502.73808384,2462.109696,2487.43165952,2506.36189696,2430.76284416,2461.4141952,2522.58484224,2405.99072768,2501.94362368,2471.49723648,2523.34620672,2511.45682944,2501.23173888,2536.7642112,2481.5828992,2383.79794432,2481.92925696,2441.84907776,2455.83364096
47,2491.17589504,2521.21153536,2510.89534976,2578.44576256,2548.94866432,2515.49171712,2507.6006912,2473.56407808,2505.92002048,2549.08121088,2541.38318848,2556.52806656,2554.99599872,2577.69193472,2476.46961664,2519.34375936,2537.86898432,2527.42254592,2556.2005504,2430.31670784,2550.2416896,2478.28791296,2491.83453184,2477.26686208,2509.242368,2485.50146048,2551.21440768,2551.1665664,2491.82502912,2502.66714112,2504.5991424,2523.6365312,2531.43105536,2481.19918592,2438.8861952,2511.89919744,2536.39933952,2519.96913664,2552.7476224,2507.11932928,2547.44117248,2551.37169408,2485.77245184,2521.42370816,2572.5943808,2456.00043008,2546.95325696,2521.50677504,2583.35555584,2566.46627328,2551.24127744,2581.77400832,2526.59269632,2433.80748288,2526.93889024,2501.85859072,2505.84334336
48,2546.18533888,2571.22123776,2560.90488832,2623.45555968,2593.95813376,2560.50151424,2562.61029888,2533.57359104,2560.92962816,2609.09072384,2586.39282176,2611.53767424,2605.00553728,2622.701568,2521.47924992,2579.35343616,2582.8786176,2577.43208448,2606.21041664,2475.32634112,2595.25132288,2533.2973568,2546.84397568,2522.27649536,2554.25216512,2535.51099904,2611.22392064,2601.17610496,2536.83449856,2547.6767744,2559.60875008,2568.64600064,2591.44056832,2541.20869888,2498.89570816,2571.90854656,2586.40887808,2574.97890816,2612.7572992,2567.12884224,2602.45078016,2611.38120704,2545.78180096,2571.43341056,2627.60398848,2511.00987392,2591.96305408,2566.51640832,2628.36518912,2626.47595008,2596.25107456,2641.78352128,2586.60237312,2488.8172544,2586.94856704,2556.8681984,2565.85285632
